network,region,type,size,cty,start,end,duration,censored,government,coalition,nodes,edges,density,n_bills_au,n_bills_co,n_sigs_au,n_sigs_co,s_min,s_max,s_med,s_mu,mu_au,mu_co,n_au,n_co,n_both,n_fem,n_new,n_ind,ysio_n,ysio_min,ysio_max,ysio_med,ysio_mu,ysio_cor,born_p,born_min,born_max,born_med,born_mu,constituency_p,constituency_n,pg_n,pg_min,pg_max,pg_med,pg_mu,pg_sd,n_gov,n_opp,pc_n,pc_min,pc_max,pc_med,pc_mu,pc_sd,cc_min,cc_max,cc_med,cc_mu,cc_p,lr_n,lr_min,lr_max,lr_med,lr_mu,lr_sd,raw_min,raw_max,raw_med,raw_mu,nfw_min,nfw_max,nfw_med,nfw_mu,gsw_min,gsw_max,gsw_med,gsw_mu
net_se1998,North,Unicameral,349,SE,1998,2002,5,0,single,S,380,5825,0.040445771420636,13607,8584,50532,45509,1,24,2,3.71367678400823,22.5894736842105,96.8394736842105,366,379,365,167,130,3,21,0,24,4,5.03157894736842,-0.376418442860622,100,1918,1974,1948,1949.19736842105,67.6315789473684,29,8,3,141,31.5,47.5,45.8600355117924,141,239,18,41,54,46,45.5555555555556,3.18493184380344,1,3,1,1.17527862208713,33.8884120171674,377,1.5,7.9,3.4,4.98859416445623,2.27216093303361,1,164,2,6.31742489270386,0.0434782608695652,32.3333333333333,0.590909090909091,1.4662660944206,0,1,0.061465496798672,0.147538601366655
net_se2002,North,Unicameral,349,SE,2002,2006,5,0,single,S,395,6094,0.0391569748763092,16490,9847,51978,45335,1,30,2,3.15209217707702,24.9291139240506,89.8430379746835,374,392,371,184,150,1,23,0,26,4,4.89113924050633,-0.386536141048845,100,1930,1983,1952,1954.08607594937,95.4430379746835,29,8,1,159,33,49.375,48.4795612309235,159,236,21,30,66,54,52.0476190476191,9.2275467513104,1,5,1,1.27597672485453,39.4814571709879,394,1.5,7.9,3.4,4.91218274111675,2.05990533321022,1,93,2,5.82343288480473,0.0344827586206897,36.9373015873016,0.619047619047619,1.6158516573679,0.000594164456233422,1,0.0548961400580373,0.145826574597988
net_se2006,North,Unicameral,349,SE,2006,2010,5,0,stable,M;C;FP;KD,390,5363,0.03535033946345,14187,7381,38353,31547,1,45,2,2.70339042785649,18.925641025641,61.9641025641026,359,386,355,184,167,2,22,0,24,4,4.44358974358974,-0.309107493211865,100,1930,1983,1958,1958.75128205128,100,29,8,2,150,28,48.75,50.6634554120198,192,198,18,29,61,53,51.3888888888889,8.14673437923145,1,4,1,1.21210498125335,34.8126048853254,388,1.5,7.9,3.4,5.16675257731959,2.16334337156056,1,214,2,4.50606004102182,0.0227272727272727,31.9079365079365,0.5,1.37628193175461,0.000763604259570863,1,0.0490417684952721,0.138673872781021
net_se2010,North,Unicameral,349,SE,2010,2014,5,0,stable,M;FP;C;KD,387,4691,0.0314027125088699,14633,7439,38071,30877,1,36,2,2.60172213490057,19.2222222222222,60.5633074935401,351,382,346,174,154,1,20,0,23,4,4.48837209302326,-0.292901570985551,100,1933,1992,1963,1963.39018087855,100,29,9,1,127,27,43,43.5803854962298,185,202,16,48,65,58,57.5,4.53137212479105,1,14,1,1.30834856794637,34.9818801961202,386,1.5,8.7,5.8,5.46683937823834,2.26308348667037,1,88,2,4.99637603922405,0.03125,65.8333333333333,0.571428571428571,1.58580260072479,0.000723262853325826,1,0.0559201141226819,0.149492865773204
net_se2014,North,Unicameral,349,SE,2014,2018,2,1,stable,S;MP,368,2748,0.0203471152707025,6323,2889,14806,11372,1,49,1,2.34160999525542,7.85054347826087,23.0516304347826,331,366,329,165,132,0,24,0,37,4,5.2445652173913,-0.460263485963213,100,1933,1993,1968,1969.10869565217,100,29,8,17,117,24,46,37.8945906429928,141,227,16,37,48,45.5,45.125,2.80178514522438,1,3,1,1.15606242496999,30.3129548762737,368,1.5,8.7,5.8,5.63913043478261,2.37978345003153,1,37,2,3.08697234352256,0.0208333333333333,20.3666666666667,0.5,1.05131004366812,0.00429777436684574,1,0.142857142857143,0.291624253521276
net_sk1998,East,Unicameral,150,SK,1998,2002,5,0,stable,SDKU-DS;SDL;SMK-MKP;SOP,149,618,0.0280246689642663,359,228,1355,1224,1,19,3,3.77437325905292,1.53020134228188,6.68456375838926,71,143,65,16,98,0,2,0,4,0,1.36912751677852,-0.139765542847794,100,1929,1975,1951,1950.89932885906,37.5838926174497,8,9,1,39,14,16.5555555555556,13.1064021675583,88,61,18,10,20,13,13.9444444444444,3.03842494457093,1,2,1,1.04232804232804,30.5825242718447,149,3.2,7.3,6.5,5.63288590604027,1.62153759834318,1,14,1,1.61165048543689,0.0555555555555556,3.35,0.2,0.368932038834951,0.0225927918235611,1,0.222222222222222,0.384994410647538
net_sk2002,East,Unicameral,150,SK,2002,2006,5,0,mixed,NA,141,402,0.0203647416413374,320,192,1017,889,1,15,2,3.178125,1.36170212765957,4.9290780141844,55,133,47,16,97,0,3,0,8,0,1.87234042553191,-0.279281137015739,100,1939,1981,1955,1956.03546099291,100,8,8,1,33,17.5,17.625,9.88415037175318,NA,NA,20,10,21,15,15.3,3.2783179255607,1,3,1,1.24615384615385,32.3383084577114,141,0.5,7.3,6.5,5.55602836879433,1.98743800601702,1,14,1,1.72885572139303,0.0714285714285714,12,0.25,0.477611940298507,0.022164173197182,1,0.222222222222222,0.413452315589624
net_sk2006,East,Unicameral,150,SK,2006,2010,5,0,stable,SMER-SD;SNS;HZDS,135,338,0.0186843559977888,502,249,1078,825,1,23,1,2.14741035856574,1.84444444444444,4.25925925925926,73,122,60,17,68,0,4,0,12,0,3.25925925925926,-0.255018614135941,100,1938,1985,1957,1958,100,8,6,12,41,20,22.5,10.9316055545377,73,62,19,10,24,12,13.5789473684211,3.68654896547622,1,2,1,1.1685393258427,26.3313609467456,135,3.4,7.3,6.5,5.72,1.66356028920532,1,15,1,1.70118343195266,0.0454545454545455,9,0.5,0.736686390532544,0.0065359477124183,1,0.333333333333333,0.452028549435855
net_sk2010,East,Unicameral,150,SK,2010,2012,3,0,stable,SDKU-DS;SAS;KDH;MOST-HID,103,168,0.0159908623643632,131,99,380,348,1,23,3,2.90076335877863,0.961165048543689,2.38834951456311,43,85,25,15,43,0,5,0,16,4,3.88349514563107,-0.502535686884824,100,1946,1982,1962,1963.57281553398,100,8,6,5,35,15.5,17.1666666666667,11.2501851836611,63,40,19,4,18,9,9.36842105263158,2.7327342090496,1,2,1,1.13513513513514,22.0238095238095,103,3.4,7.4,6,5.65922330097087,1.70025585694024,1,6,1,1.46428571428571,0.0476190476190476,2.5,0.5,0.589285714285714,0.0476190476190476,1,0.666666666666667,0.64137670219603
net_sk2012,East,Unicameral,150,SK,2012,2016,4,1,single,SMER-SD,139,471,0.024554269627776,847,526,2411,2090,1,23,2,2.84651711924439,3.7841726618705,11.2374100719424,72,130,63,20,42,0,6,0,20,4,5.41007194244604,-0.312178781384946,100,1939,1985,1964,1963.56115107914,100,8,6,11,66,16,23.1666666666667,21.1604977887257,66,73,19,5,27,12,12.0526315789474,4.1829506360214,1,2,1,1.09090909090909,18.6836518046709,139,3.4,7.4,6,5.33309352517986,1.87938428435781,1,27,1,3.31634819532909,0.0476190476190476,15.6666666666667,0.5,1.11677282377919,0.00435173516563813,1,0.1875,0.358647961626625
